,user,item,rating
0,1,18,4
1,1,23,4
2,1,26,4
3,1,37,4
4,1,53,3
5,1,90,4
6,1,95,4
7,1,105,5
8,1,129,2
9,1,135,2
10,1,163,4
11,1,181,5
12,1,185,4
13,1,193,2
14,1,196,4
15,1,211,3
16,1,217,4
17,1,225,4
18,1,235,3
19,1,242,2
20,1,247,2
21,1,253,5
22,1,274,1
23,1,280,4
24,1,282,4
25,1,293,4
26,1,303,3
27,1,314,3
28,1,315,5
29,1,320,3
30,1,328,4
31,1,330,4
32,1,337,5
33,1,343,5
34,1,346,4
35,1,349,5
36,1,352,4
37,1,357,2
38,1,361,2
39,1,362,2
40,1,363,4
41,1,366,3
42,1,367,3
43,1,371,4
44,1,372,4
45,1,375,4
46,1,403,1
47,1,408,3
48,1,423,5
49,1,448,1
50,1,464,4
51,1,469,2
52,1,481,5
53,1,486,4
54,1,489,1
55,1,498,2
56,1,515,4
57,1,516,5
58,1,522,4
59,1,571,1
60,1,580,4
61,1,586,4
62,1,593,4
63,1,605,5
64,1,606,3
65,1,622,4
66,1,627,4
67,1,640,4
68,1,657,4
69,1,661,3
70,1,666,4
71,1,669,5
72,1,678,3
73,1,681,2
74,1,697,5
75,1,717,4
76,1,718,5
77,1,731,4
78,1,734,2
79,1,737,4
80,1,744,4
81,1,747,2
82,1,749,4
83,1,766,3
84,1,780,4
85,1,782,4
86,1,809,4
87,1,814,1
88,1,826,4
89,1,832,4
90,1,849,3
91,1,860,5
92,1,866,4
93,1,867,3
94,1,875,3
95,1,881,5
96,1,889,3
97,1,896,2
98,1,902,4
99,1,912,3
100,1,919,5
101,1,930,3
102,1,983,2
103,1,987,3
104,1,1022,4
105,1,1025,4
106,1,1037,4
107,1,1064,4
108,1,1076,3
109,1,1078,4
110,1,1085,4
111,1,1086,2
112,1,1106,5
113,1,1108,3
114,1,1136,4
115,1,1145,3
116,1,1162,4
117,1,1186,4
118,1,1193,4
119,1,1209,3
120,1,1213,4
121,1,1227,4
122,1,1278,4
123,1,1297,3
124,1,1312,3
125,1,1323,3
126,1,1327,2
127,1,1330,4
128,1,1336,5
129,1,1341,3
130,1,1343,4
131,1,1352,4
132,1,1359,5
133,1,1361,5
134,1,1362,5
135,1,1378,4
136,1,1386,2
137,1,1423,5
138,1,1432,4
139,1,1459,5
140,1,1468,5
141,1,1477,5
142,1,1492,5
143,1,1501,2
144,1,1502,4
145,1,1526,4
146,1,1531,4
147,1,1532,4
148,1,1534,4
149,1,1535,4
150,1,1541,3
151,1,1545,4
152,1,1547,2
153,1,1568,5
154,1,1572,4
155,1,1573,3
156,1,1576,5
157,1,1594,3
158,1,1605,4
159,1,1607,5
160,1,1614,4
161,1,1620,4
162,1,1633,5
163,1,1638,3
164,1,1639,5
165,1,1644,4
166,1,1650,5
167,1,1653,4
168,1,1661,3
169,1,1680,3
170,2,4,1
171,2,7,1
172,2,9,3
173,2,10,1
174,2,11,1
175,2,22,1
176,2,26,1
177,2,28,1
178,2,29,1
179,2,30,1
180,2,32,1
181,2,39,1
182,2,44,1
183,2,48,1
184,2,49,1
185,2,50,3
186,2,57,1
187,2,60,1
188,2,64,1
189,2,85,1
190,2,87,1
191,2,90,1
192,2,94,3
193,2,97,1
194,2,100,1
195,2,104,1
196,2,106,1
197,2,113,1
198,2,114,2
199,2,115,1
200,2,120,2
201,2,122,1
202,2,128,1
203,2,129,2
204,2,135,2
205,2,142,1
206,2,143,1
207,2,145,1
208,2,148,1
209,2,157,1
210,2,161,1
211,2,173,1
212,2,183,1
213,2,191,1
214,2,193,3
215,2,194,1
216,2,195,1
217,2,196,3
218,2,199,3
219,2,203,3
220,2,205,2
221,2,209,3
222,2,219,3
223,2,224,2
224,2,228,1
225,2,231,2
226,2,240,1
227,2,241,4
228,2,242,2
229,2,245,2
230,2,266,1
231,2,268,4
232,2,270,1
233,2,275,1
234,2,285,1
235,2,287,2
236,2,291,1
237,2,296,1
238,2,318,1
239,2,322,2
240,2,339,2
241,2,349,2
242,2,350,1
243,2,351,1
244,2,353,1
245,2,357,2
246,2,359,1
247,2,365,1
248,2,366,1
249,2,376,1
250,2,384,1
251,2,388,1
252,2,394,2
253,2,403,1
254,2,407,2
255,2,409,2
256,2,413,1
257,2,414,1
258,2,419,1
259,2,420,1
260,2,423,1
261,2,434,1
262,2,437,2
263,2,444,1
264,2,450,2
265,2,453,1
266,2,458,1
267,2,465,1
268,2,469,1
269,2,470,1
270,2,479,1
271,2,488,1
272,2,497,1
273,2,498,1
274,2,506,1
275,2,510,1
276,2,513,1
277,2,516,1
278,2,519,1
279,2,520,2
280,2,521,1
281,2,528,1
282,2,534,1
283,2,536,1
284,2,537,1
285,2,542,1
286,2,546,3
287,2,552,2
288,2,556,1
289,2,564,1
290,2,566,2
291,2,571,4
292,2,572,2
293,2,573,2
294,2,574,4
295,2,576,1
296,2,579,1
297,2,583,1
298,2,587,2
299,2,612,1
300,2,631,1
301,2,638,1
302,2,651,3
303,2,653,1
304,2,654,1
305,2,658,2
306,2,661,3
307,2,662,1
308,2,664,1
309,2,670,1
310,2,673,1
311,2,679,2
312,2,696,2
313,2,701,1
314,2,705,1
315,2,717,1
316,2,733,1
317,2,736,2
318,2,745,1
319,2,751,3
320,2,754,1
321,2,758,1
322,2,769,2
323,2,776,1
324,2,778,2
325,2,791,1
326,2,795,1
327,2,796,1
328,2,798,1
329,2,807,1
330,2,808,1
331,2,813,1
332,2,814,3
333,2,815,1
334,2,817,1
335,2,818,1
336,2,819,1
337,2,821,1
338,2,822,5
339,2,829,1
340,2,833,2
341,2,836,1
342,2,839,3
343,2,844,1
344,2,848,1
345,2,850,1
346,2,851,1
347,2,855,1
348,2,865,1
349,2,871,4
350,2,872,1
351,2,881,2
352,2,890,2
353,2,897,1
354,2,898,1
355,2,899,1
356,2,900,1
357,2,903,2
358,2,917,1
359,2,924,4
360,2,927,1
361,2,930,2
362,2,932,1
363,2,935,1
364,2,938,1
365,2,947,2
366,2,948,3
367,2,954,1
368,2,958,1
369,2,965,4
370,2,974,1
371,2,979,1
372,2,983,5
373,2,990,1
374,2,993,1
375,2,995,1
376,2,1002,1
377,2,1007,3
378,2,1009,1
379,2,1011,1
380,2,1023,1
381,2,1027,2
382,2,1038,1
383,2,1043,1
384,2,1044,2
385,2,1048,1
386,2,1049,2
387,2,1050,3
388,2,1053,1
389,2,1066,1
390,2,1067,1
391,2,1069,4
392,2,1072,1
393,2,1082,1
394,2,1084,3
395,2,1085,1
396,2,1086,2
397,2,1089,1
398,2,1091,1
399,2,1095,1
400,2,1120,3
401,2,1124,2
402,2,1127,1
403,2,1132,1
404,2,1134,2
405,2,1135,1
406,2,1138,1
407,2,1139,4
408,2,1140,1
409,2,1156,1
410,2,1180,1
411,2,1187,1
412,2,1196,1
413,2,1197,4
414,2,1199,1
415,2,1221,1
416,2,1224,1
417,2,1226,3
418,2,1229,1
419,2,1237,2
420,2,1238,2
421,2,1247,1
422,2,1250,1
423,2,1252,1
424,2,1253,1
425,2,1257,1
426,2,1263,1
427,2,1264,1
428,2,1266,1
429,2,1273,3
430,2,1275,2
431,2,1276,1
432,2,1279,1
433,2,1281,1
434,2,1283,1
435,2,1287,1
436,2,1288,1
437,2,1290,1
438,2,1295,1
439,2,1307,1
440,2,1321,1
441,2,1327,3
442,2,1332,1
443,2,1333,1
444,2,1337,1
445,2,1347,1
446,2,1348,2
447,2,1349,1
448,2,1352,1
449,2,1362,3
450,2,1364,4
451,2,1365,1
452,2,1369,1
453,2,1370,1
454,2,1372,1
455,2,1377,1
456,2,1384,2
457,2,1386,2
458,2,1389,2
459,2,1394,1
460,2,1404,1
461,2,1409,1
462,2,1412,1
463,2,1429,1
464,2,1446,1
465,2,1449,1
466,2,1453,2
467,2,1456,1
468,2,1464,4
469,2,1467,1
470,2,1470,2
471,2,1473,1
472,2,1480,1
473,2,1483,1
474,2,1484,3
475,2,1497,1
476,2,1500,1
477,2,1516,4
